"","abrev","country"
"904","LAVB","Brazil"
"905","JRSV","Brazil"
"906","MCO","Spain"
"907","JISB","Brazil"
"908","GENA","Brazil"
"909","DGFP","Brazil"
"910","MMM","Brazil"
"911","LGCS","Brazil"
"912","NMDD","Brazil"
"913","KA","Brazil"
"914","IMM","Brazil"
"915","PMB","Brazil"
"916","FARB","Brazil"
"917","AAP","USA"
"918","RAR","Sweden"
"919","PJDB","Netherlands"
"920","CRPT","Costa Rica"
"921","LEC","Costa Rica"
"922","JSG","Sweden"
"923","MFN","Costa Rica"
"924","MAA","Costa Rica"
"925","SVGS","Costa Rica"
"926","RRM","Sweden"
"927","FMTR","Costa Rica"
"928","RUGA","Costa Rica"
"929","LG","Costa Rica"
"930","OSVN","Sweden"
"931","ASB","Sweden"
"932","MTDG","Sweden"
"933","LBE","Argentina"
"934","CYDP","Argentina"
"935","GHOM","Argentina"
"936","MACH","Argentina"
"937","OMZ","Argentina"
"938","AMK","Argentina"
"939","AMTN","Brazil"
"940","EMSH","Brazil"
"941","RH","Brazil"
"942","ODE","France"
"943","CLY","France"
"944","BC","France"
"945","AD","France"
"946","STLG","France"
"947","RCE","France"
"948","YCR","Colombia"
"949","CARR","Colombia"
"950","HOV","Colombia"
"951","KNCS","Panama"
"952","YPA","Panama"
"953","TARG","Panama"
"954","JABV","Panama"
"955","BZCS","Colombia"
"956","SMML","Brazil"
"957","GDP","Brazil"
"958","JGB","Brazil"
"959","SFBF","Brazil"
"960","FRP","Brazil"
"961","RCP","Brazil"
"962","MMR","Spain"
"963","BGR","Spain"
"964","KCSN","Brazil"
"965","JSM","Brazil"
"966","AF","Brazil"
"967","PG","Brazil"
"968","ALNC","Brazil"
"969","FAM","Brazil"
"970","GBJ","Brazil"
"971","SRN","Brazil"
"972","CSG","Brazil"
"973","GPR","Brazil"
"974","GE","Brazil"
"975","LCS","Brazil"
"976","ND","Brazil"
"977","EPR","Brazil"
"978","MJPA","Brazil"
"979","JEDB","Brazil"
"980","DMCA","Brazil"
"981","WPK","Brazil"
"982","TZG","Brazil"
"983","KVSP","Brazil"
"984","FMD","Brazil"
"985","HSM","Brazil"
"986","ACAS","Brazil"
"987","MMS","Brazil"
"988","FGA","Brazil"
"989","LFTR","Brazil"
"990","RDA","Brazil"
"991","MATO","Portugal"
"992","CDU","Brazil"
"993","AEM","Scotland"
"994","JZA","Brazil"
"995","CPD","Brazil"
"996","FMC","Brazil"
"997","JSFS","Brazil"
"998","KDSV","Brazil"
"999","DSNG","Brazil"
"1000","DB","Switzerland"
"1001","NSP","Brazil"
"1002","AABO","Brazil"
"1003","PC","Brazil"
"1004","RPB","Brazil"
"1005","BOR","Switzerland"
"1006","CWCB","Brazil"
"1007","JJFL","Brazil"
"1008","VLMG","Brazil"
"1009","DSF","Brazil"
"1010","TDSP","Brazil"
"1011","IFSF","Brazil"
"1012","EFAP","Brazil"
"1013","AWSG","Brazil"
"1014","ARG","Brazil"
"1015","BKS","Brazil"
"1016","JDGT","Colombia"
"1017","SSB","Spain"
"1018","EPG","Brazil"
"1019","VAAG","Brazil"
"1020","JSDA","Brazil"
"1021","GMS","Brazil"
"1022","MSS","Brazil"
"1023","VV","Brazil"
"1024","TPGM","Brazil"
"1025","JSRF","Brazil"
"1026","ECST","Brazil"
"1027","LAC","Colombia"
"1028","LIM","Colombia"
"1029","AL","Spain"
"1030","AIST","Colombia"
"1031","LMTT","Argentina"
"1032","JMS","Argentina"
"1033","BTM","Brazil"
"1034","ATQ","Cuba"
"1035","YTC","Cuba"
"1036","JSFC","Brazil"
"1037","RSLR","Brazil"
"1038","LCR","USA"
"1039","PEGF","Costa Rica"
"1040","MAPR","Argentina"
"1041","AVIM","Argentina"
"1042","AMB","Ecuador"
"1043","VCP","Ecuador"
"1044","DCG","Mexico"
"1045","LAOS","Mexico"
"1046","WA","Brazil"
"1047","RRCS","Brazil"
"1048","ECC","Brazil"
"1049","RMUT","USA"
"1050","WMS","Brazil"
"1051","FSNT","Brazil"
"1052","KBG","USA"
"1053","ASTJ","Brazil"
"1054","LPM","Brazil"
"1055","PVS","Brazil"
"1056","NYS","Brazil"
"1057","DATP","Brazil"
"1058","PAP","Brazil"
"1059","BMG","Brazil"
"1060","FB","Costa Rica"
"1061","DROM","Costa Rica"
"1062","RBU","Ecuador"
"1063","LHO","Belgium"
"1064","AMRM","Ecuador"
"1065","RNPN","Ecuador"
"1066","DSZ","Ecuador"
"1067","MJS","South Africa"
"1068","PLF","Brazil"
"1069","CAOK","Brazil"
